code	CGN tag	aantal (beetje onbegrijpelijk, staat voor aantal verschillende woord+lemma+pos combinaties)	voorbeeldwoordjes	weergave van uitleg in handleiding	opmerking
270		1	kunnen	ww pv, hulp of koppelwerkwoord 	
271	WW(pv,e-hulp-of-koppel,tgw,e-1,ev)	73	HEB  zal  zit  laat	ww pv, hulp of koppelwerkwoord 1 ev tgw	
272	WW(pv,e-hulp-of-koppel,tgw,e-2,ev)	131	mag  houdt  Weet  Zul  Kunt	ww pv, hulp of koppelwerkwoord 2 ev tgw	
273	WW(pv,e-hulp-of-koppel,tgw,e-3,ev)	152	mag  zijn  kon  tracht  dient	ww pv, hulp of koppelwerkwoord 3 ev tgw	
274	WW(pv,e-hulp-of-koppel,tgw,mv)	107	magge  doen  Zijn  behoren  Blijken	ww pv, hulp of koppelwerkwoord mv tgw	
275	WW(pv,e-hulp-of-koppel,verl,ev)	134	achtte  Liet  hielp  Was  Moest	ww pv, hulp of koppelwerkwoord sg verl	
276	WW(pv,e-hulp-of-koppel,verl,mv)	88	Zouden  HADDEN  sloegen  moesten  probeerden	ww pv, hulp of koppelwerkwoord pl verl	
277	WW(pv,e-hulp-of-koppel,imper,e-zonder-subj)	22	blijf  Blijf  Laat  Ga  zit	ww pv, hulp of koppelwerkwoord imperatief zonder pronomen	
278	WW(pv,e-hulp-of-koppel,imper,e-met-subj)	7	Begint  gaat  Gaat  Laat  Ga	ww pv, hulp of koppelwerkwoord imperatief met pronomen	
279	WW(pv,e-hulp-of-koppel,conj)	14	zij  ware  zijt	ww pv, hulp of koppelwerkwoord overige vormen	
287	WW(pv,e-interj,imper,e-zonder-subj)	13	verrek  kijk  hoor  kom	ww imperatief zonder pronomen	? beetje raar
300	VNW(pers,pron,nomin)	84	zij  wij  We  Ze  Iek	vnw persoonlijk basisvorm	
302	VNW(pers,pron,gen) 	5	onzer  haars  het  hunner	vnw persoonlijk genitief	“het” is tagfout
303	VNW(pers,pron,obl)	65	hem  haar  hen  jou  't	vnw persoonlijk overige buiging	
321	VNW(bez,det,stan,nom,met-e,mv-n) 	2	zijnen	vnw bezittelijk, zelfstandig meervoud	
323	VNW(bez,det,stan,nom,met-e,zonder-n) 	6	onze  mijne  zijne  hunne	vnw bezittelijk, zelfstandig overige buiging	
330	VNW(bez,det,prenom,stan)	54	der  Jullie  ZIJN  Z'n  z'n	vnw bezittelijk, bijvoeglijk basisvorm	
332	VNW(bez,det,prenom,gen)	13	Uwer  huns  zijns  mijns	vnw bezittelijk, bijvoeglijk genitief	
333	VNW(bez,det,stan,met-e)	22	onze  mijne  uwe  zijnen	vnw bezittelijk, bijvoeglijk overige buiging	
337	???	1	is	vnw bezittelijk, bijvoeglijk superlatief onverbogen	
340	VNW(refl|pr|recip,pron,obl)	75	u  mekander  elkaaar  van  me	vnw reflexief, zelfstandig basisvorm	Afhankelijk van lemma kiezen; als zich dan refl; als kaar|kander/ dan recip, anders pr
342	VNW(refl|pr|recip,pron,gen) [kan niet]	5	zichzelfs  elkaar  elkanders  elkaars	vnw reflexief, zelfstandig genitief	
343	VNW(refl|pr|recip,pron,met-e)	2	eigene  zichzelve	vnw reflexief, zelfstandig overige buiging	eigen is ADJ volgens CGN
350	ADJ(prenom,basis,zonder)	29	Diezelfde  elk  Eigen  eenzelfde  dezelfde	vnw reflexief, bijvoeglijk basisvorm	
352	ADJ(prenom,basis,bijz)	1	eigener	vnw reflexief, bijvoeglijk genitief	
353	ADJ(postnom,basis,met-e)	3	zelve  terzelfder	vnw reflexief, bijvoeglijk overige buiging	terzelfder is tagfout, dan
360	VNW(aanw,pron,stan)	37	dergelijk  zodanig  ie  De  datgene	vnw aanwijzend, zelfstandig basisvorm	
361	VNW(aanw,det,nom,stan,mv-n)	9	dezulken  diegenen  degenen  dezen	vnw aanwijzend, zelfstandig meervoud	
362	VNW(aanw,det,nom,gen)	12	des  dezes  diens  Diens	vnw aanwijzend, zelfstandig genitief	
363	VNW(aanw,det,nom,met-e)	12	degene  diegene  dergelijke  dezen  datgene	vnw aanwijzend, zelfstandig overige buiging	type overige uitgang, als -n dan iets scripten?
370	VNW(aanw,det,stan,prenom)	59	zulk  min  dergelijk  Ik  het	vnw aanwijzend, bijvoeglijk basisvorm	
372	VNW(aanw,det,gen,prenom)	13	der  's  Dezer  dezer	vnw aanwijzend, bijvoeglijk genitief	
373	VNW(aanw,det,met-e)	20	der  dien  zodanige  dezer	vnw aanwijzend, bijvoeglijk overige buiging	script voor eventuele nuancering van met-e?
380	?? FOUT	1	hij	vnw basisvorm	
400	VNW(vb,pron,stan)	33	Wat  wat  wie	vnw vragend. zelfstandig basisvorm	
402	VNW(vb,pron,gen)	4	wier  wiens	vnw vragend. zelfstandig genitief	
403	VNW(vb,det,nom,stan,met-e)	5	welke  Welke	vnw vragend. zelfstandig overige buiging	
410	VNW(vb,det,prenom,stan,zonder)	11	Welk  welk  Wat  wat	vnw vragend, bijvoeglijk basisvorm	
413	VNW(vb,det,prenom,stan,met-e)	5	welke  Welke	vnw vragend, bijvoeglijk overige buiging	
420	VNW(betr,pron,stan)	35	Wie  dat  WIE  Hetgeen  wie	vnw betrekkelijk, zelfstandig basisvorm	
422	VNW(betr,pron,gen)	5	welks  wiens  wier  welker	vnw betrekkelijk, zelfstandig genitief	
423	VNW(betr,pron,overig-of-e)	3	welke  dien	vnw betrekkelijk, zelfstandig overige buiging	
430	VNW(betr,det,stan,prenom,zonder)	3	welk  tweede	vnw betrekkelijk, bijvoeglijk basisvorm	
433	VNW(betr,det,stan,prenom,met-e)	3	welke  Welke	vnw betrekkelijk, bijvoeglijk overige buiging	
440	VNW(onbep,pron,stan)	108	Iedereen  gemaakt  teveel  genoeg  alles	vnw onbepaald, zelfstandig basisvorm	
441	VNW(onbep,det,nom,stan,mv-n)	33	allen  tevelen  sommigen  Anderen  beiden	vnw onbepaald, zelfstandig meervoud	
442	VNW(onbep,det,gen,nom) 	10	anderer  beider  andermans	vnw onbepaald, zelfstandig genitief	
443	VNW(onbep,det,stan,nom,met-e)	29	sommige  vele  enen  enige	vnw onbepaald, zelfstandig overige buiging	gevallen met mv-n zijn tagfout?
