TITEL	GENRE	GENRE	GENRE	SUBGENRE	SUBGENRE	SUBGENRE	SUBGENRE	AUTEUR	OPMERKING
godevaerts_kintshede	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
godevaert_metten_baerde	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
grimbergse_oorlog	Non-fiction	Verse	secular	 	history	 	 	unknown	 
gruuthuse-handschrift_gebeden	Non-fiction	Verse	religious	 	prayer	 	 	not applicable	 
gruuthuse-handschrift_gedichten	fiction	Verse	secular	 	 	 	 	not applicable	 
gruuthuse-handschrift_liederen	fiction	Verse	secular	stanzaic	song	 	 	not applicable	 
gwidekijn_van_sassen	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
haagse_liederenhs	fiction	Verse	secular	stanzaic	song	 	 	not applicable	 
hexe	fiction	Verse	secular	drama	 	 	 	unknown	 
heymelijchede_der_heymelijcheit	Non-fiction	Verse	secular	 	Philosophy / ethics	 	 	Jacob van Maerlant	 
historie_van_den_grale	fiction	Verse	secular	epic	Chivalric romance	 	 	Jacob van Maerlant	 
historie_van_gaver_capeel	fiction	Verse	secular	 	Chivalric romance	chapbook	 	unknown	 
historie_van_troyen	fiction	verse	secular	epic	 	 	 	Jacob van Maerlant	 
huge_van_bordeeus_fragm_l	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
huge_van_bordeeus_fragm_m	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
ierste_musyck_boexken	fiction	Verse	secular	stanzaic	song	 	 	not applicable	 
jans_teesteye	Non-fiction	Verse	secular	 	Philosophy / ethics	 	 	Jan van Boendale	 
jan_splinters_testament	fiction	Verse	secular	chapbook	 	 	 	unknown	 
jonathas_ende_rosafiere	fiction	Verse	religious	epic	legend	 	 	unknown	 
karel_ende_elegast	fiction	Verse	secular	epic	Chivalric romance	chapbook	 	unknown	 
korte_kroniek_van_brabant_korte_versie_1	Non-fiction	Verse	secular	 	history	 	 	Jan van Boendale	 
korte_kroniek_van_brabant_korte_versie_2	Non-fiction	Verse	secular	 	history	 	 	unknown	 
korte_kroniek_van_brabant_lange_versie	Non-fiction	Verse	secular	 	history	 	 	Heraut Beyeren	 
lanceloet_en_het_hert_met_de_witte_voet	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
lanseloet_van_denemerken	fiction	Verse	secular	drama	Chivalric romance	 	 	unknown	 
lantsloot_van_der_haghedochte	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
lapidarijs	Non-fiction	Verse	secular	artes	science	Natural history	 	Jacob van Maerlant(?)	 
leven_van_sint_trudo	Non-fiction	Verse	religious	epic	Legendary hagiography	 	 	unknown	 
lion_van_bourges	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
lippijn	fiction	Verse	secular	drama	 	 	 	unknown	 
loyhier_en_malaert_fragm_a	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
loyhier_en_malaert_fragm_g	fiction	verse	secular	epic	Chivalric romance	 	 	unknown	 
loyhier_en_malaert_fragm_l1	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
loyhier_en_malaert_fragm_l2	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
