code	correctieJesse	correctie Thomas	correctie Jesse	omschrijving
259	VRB(type=mai,finiteness=inf|ger,infl=other)		VRB(type=mai,finiteness=inf|ger,infl=other)	infinitief (zelfst.ww.), uitgang latijn, onduidelijk of evident fout geschreven
260	VRB(type=aux|cop,finiteness=inf|ger,infl=0)			infinitief (koppel-|hulpww.), geen uitgang
261	VRB(type=aux|cop,finiteness=inf|ger,infl=e)			infinitief (koppel-|hulpww.), uitgang -e
264	VRB(type=aux|cop,finiteness=inf|ger,infl=n)			infinitief (koppel-|hulpww.), uitgang -n
269	VRB(type=aux|cop,finiteness=inf|ger,infl=other)			infinitief (koppel-|hulpww.), uitgang latijn, onduidelijk of evident fout geschreven
270	VRB(type=mai,finiteness=part,infl=0,tense=past)			deelwoord (zelfst.ww.), geen uitgang
271	VRB(type=mai,finiteness=part,infl=e,tense=past)			deelwoord (zelfst.ww.), uitgang -e
271	VRB(type=mai,finiteness=part,infl=e,tense=past)			deelwoord (zelfst.ww.), uitgang -e
272	VRB(type=mai,finiteness=part,infl=s|th,tense=past)			deelwoord (zelfst.ww.), uitgang -s|-th
273	VRB(type=mai,finiteness=part,infl=t,tense=past)			deelwoord (zelfst.ww.), uitgang -t
273	VRB(type=mai,finiteness=part,infl=t,tense=past)			deelwoord (zelfst.ww.), uitgang -t
274	VRB(type=mai,finiteness=part,infl=n,tense=past)			deelwoord (zelfst.ww.), uitgang -n
274	VRB(type=mai,finiteness=part,infl=n,tense=past)			deelwoord (zelfst.ww.), uitgang -n
276	VRB(type=mai,finiteness=part,infl=a,tense=past)			deelwoord (zelfst.ww.), uitgang -a
279	VRB(type=mai,finiteness=part,infl=other,tense=past)			deelwoord (zelfst.ww.), uitgang latijn, onduidelijk of evident fout geschreven
279	VRB(type=mai,finiteness=part,infl=other,tense=past)			deelwoord (zelfst.ww.), uitgang latijn, onduidelijk of evident fout geschreven
280	VRB(type=aux|cop,finiteness=part,infl=0,tense=past)			deelwoord (koppel-|hulpww.), geen uitgang
281	VRB(type=aux|cop,finiteness=part,infl=e,tense=past)			deelwoord (koppel-|hulpww.), uitgang -e
281	VRB(type=aux|cop,finiteness=part,infl=e,tense=past)			deelwoord (koppel-|hulpww.), uitgang -e
282	VRB(type=aux|cop,finiteness=part,infl=s|th,tense=past)			deelwoord (koppel-|hulpww.), uitgang -s|-th
283	VRB(type=aux|cop,finiteness=part,infl=t,tense=past)			deelwoord (koppel-|hulpww.), uitgang -t
284	VRB(type=aux|cop,finiteness=part,infl=n,tense=past)			deelwoord (koppel-|hulpww.), uitgang -n
