269	VRB(type=auxiliary,finiteness=inf/ger,inflection=other)	pos=WW,feat.wvorm=inf	infinitief (koppel-/hulpww.), uitgang latijn, onduidelijk of evident fout geschreven
270	VRB(type=main,finiteness=part,inflection=0)	pos=WW	deelwoord (zelfst.ww.), geen uitgang
271	VRB(type=main,finiteness=part,inflection=e)	pos=WW,feat.form=-e	deelwoord (zelfst.ww.), uitgang -e
272	VRB(type=main,finiteness=part,inflection=s/th)	pos=WW,feat.form=-s/-th	deelwoord (zelfst.ww.), uitgang -s/-th
273	VRB(type=main,finiteness=part,inflection=t)	pos=WW,feat.form=-t	deelwoord (zelfst.ww.), uitgang -t
274	VRB(type=main,finiteness=part,inflection=n)	pos=WW,feat.form=-n	deelwoord (zelfst.ww.), uitgang -n
275	VRB(type=main,finiteness=part,inflection=r/re)	pos=WW,feat.form=-r/-re	deelwoord (zelfst.ww.), uitgang -r/-re
276	VRB(type=main,finiteness=part,inflection=a)	pos=WW,feat.form=-a	deelwoord (zelfst.ww.), uitgang -a
279	VRB(type=main,finiteness=part,inflection=other)	pos=WW	deelwoord (zelfst.ww.), uitgang latijn, onduidelijk of evident fout geschreven
280	VRB(type=auxiliary,finiteness=part,inflection=0)	pos=WW	deelwoord (koppel-/hulpww.), geen uitgang
281	VRB(type=auxiliary,finiteness=part,inflection=e)	pos=WW,feat.form=-e	deelwoord (koppel-/hulpww.), uitgang -e
282	VRB(type=auxiliary,finiteness=part,inflection=s/th)	pos=WW,feat.form=-s/-th	deelwoord (koppel-/hulpww.), uitgang -s/-th
283	VRB(type=auxiliary,finiteness=part,inflection=t)	pos=WW,feat.form=-t	deelwoord (koppel-/hulpww.), uitgang -t
284	VRB(type=auxiliary,finiteness=part,inflection=n)	pos=WW,feat.form=-n	deelwoord (koppel-/hulpww.), uitgang -n
285	VRB(type=auxiliary,finiteness=part,inflection=r/re)	pos=WW,feat.form=-r/-re	deelwoord (koppel-/hulpww.), uitgang -r/-re
286	VRB(type=auxiliary,finiteness=part,inflection=a)	pos=WW,feat.form=-a	deelwoord (koppel-/hulpww.), uitgang -a
289	VRB(type=auxiliary,finiteness=part,inflection=other)	pos=WW	deelwoord (koppel-/hulpww.), uitgang latijn, onduidelijk of evident fout geschreven
290	VRB(type=other,inflection=0)	pos=WW,feat.probleemgeval=true	werkwoord probleemgeval, geen uitgang
291	VRB(type=other,inflection=e)	pos=WW,feat.probleemgeval=true,feat.form=-e	werkwoord probleemgeval, uitgang -e
292	VRB(type=other,inflection=s/th)	pos=WW,feat.probleemgeval=true,feat.form=-s/-th	werkwoord probleemgeval, uitgang -s/-th
293	VRB(type=other,inflection=t)	pos=WW,feat.probleemgeval=true,feat.form=-t	werkwoord probleemgeval, uitgang -t
294	VRB(type=other,inflection=n)	pos=WW,feat.probleemgeval=true,feat.form=-n	werkwoord probleemgeval, uitgang -n
295	VRB(type=other,inflection=r/re)	pos=WW,feat.probleemgeval=true,feat.form=-r/-re	werkwoord probleemgeval, uitgang -r/-re
296	VRB(type=other,inflection=a)	pos=WW,feat.probleemgeval=true,feat.form=-a	werkwoord probleemgeval, uitgang -a
299	VRB(type=other,inflection=other)	pos=WW,feat.probleemgeval=true	werkwoord probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven
300	NUM(type=cardinal,inflection=0)	pos=TW,feat.numtype=hoofd	hoofdtelwoord, geen uitgang
301	NUM(type=cardinal,inflection=e)	pos=TW,feat.numtype=hoofd,feat.form=-e	hoofdtelwoord, uitgang -e
302	NUM(type=cardinal,inflection=s/th)	pos=TW,feat.numtype=hoofd,feat.form=-s/-th	hoofdtelwoord, uitgang -s/-th
303	NUM(type=cardinal,inflection=t)	pos=TW,feat.numtype=hoofd,feat.form=-t	hoofdtelwoord, uitgang -t
304	NUM(type=cardinal,inflection=n)	pos=TW,feat.numtype=hoofd,feat.form=-n	hoofdtelwoord, uitgang -n
305	NUM(type=cardinal,inflection=r/re)	pos=TW,feat.numtype=hoofd,feat.form=-r/-re	hoofdtelwoord, uitgang -r/-re
306	NUM(type=cardinal,inflection=a)	pos=TW,feat.numtype=hoofd,feat.form=-a	hoofdtelwoord, uitgang -a
309	NUM(type=cardinal,inflection=other)	pos=TW,feat.numtype=hoofd	hoofdtelwoord, uitgang latijn, onduidelijk of evident fout geschreven
310	NUM(type=ordinal,inflection=0)	pos=TW,feat.numtype=rang	rangtelwoord, geen uitgang
311	NUM(type=ordinal,inflection=e)	pos=TW,feat.numtype=rang,feat.form=-e	rangtelwoord, uitgang -e
312	NUM(type=ordinal,inflection=s/th)	pos=TW,feat.numtype=rang,feat.form=-s/-th	rangtelwoord, uitgang -s/-th
313	NUM(type=ordinal,inflection=t)	pos=TW,feat.numtype=rang,feat.form=-t	rangtelwoord, uitgang -t
314	NUM(type=ordinal,inflection=n)	pos=TW,feat.numtype=rang,feat.form=-n	rangtelwoord, uitgang -n
315	NUM(type=ordinal,inflection=r/re)	pos=TW,feat.numtype=rang,feat.form=-r/-re	rangtelwoord, uitgang -r/-re
316	NUM(type=ordinal,inflection=a)	pos=TW,feat.numtype=rang,feat.form=-a	rangtelwoord, uitgang -a
319	NUM(type=ordinal,inflection=other)	pos=TW,feat.numtype=rang	rangtelwoord, uitgang latijn, onduidelijk of evident fout geschreven
320	NUM(type=indefinite,inflection=0)	pos=TW	onbepaald telwoord, geen uitgang
321	NUM(type=indefinite,inflection=e)	pos=TW,feat.form=-e	onbepaald telwoord, uitgang -e
322	NUM(type=indefinite,inflection=s/th)	pos=TW,feat.form=-s/-th	onbepaald telwoord, uitgang -s/-th
323	NUM(type=indefinite,inflection=t)	pos=TW,feat.form=-t	onbepaald telwoord, uitgang -t
324	NUM(type=indefinite,inflection=n)	pos=TW,feat.form=-n	onbepaald telwoord, uitgang -n
325	NUM(type=indefinite,inflection=r/re)	pos=TW,feat.form=-r/-re	onbepaald telwoord, uitgang -r/-re
326	NUM(type=indefinite,inflection=a)	pos=TW,feat.form=-a	onbepaald telwoord, uitgang -a
329	NUM(type=indefinite,inflection=other)	pos=TW	onbepaald telwoord, uitgang latijn, onduidelijk of evident fout geschreven
390	NUM(type=other,inflection=0)	pos=TW,feat.probleemgeval=true	telwoord probleemgeval, geen uitgang
391	NUM(type=other,inflection=e)	pos=TW,feat.probleemgeval=true,feat.form=-e	telwoord probleemgeval, uitgang -e
392	NUM(type=other,inflection=s/th)	pos=TW,feat.probleemgeval=true,feat.form=-s/-th	telwoord probleemgeval, uitgang -s/-th
393	NUM(type=other,inflection=t)	pos=TW,feat.probleemgeval=true,feat.form=-t	telwoord probleemgeval, uitgang -t
394	NUM(type=other,inflection=n)	pos=TW,feat.probleemgeval=true,feat.form=-n	telwoord probleemgeval, uitgang -n
395	NUM(type=other,inflection=r/re)	pos=TW,feat.probleemgeval=true,feat.form=-r/-re	telwoord probleemgeval, uitgang -r/-re
396	NUM(type=other,inflection=a)	pos=TW,feat.probleemgeval=true,feat.form=-a	telwoord probleemgeval, uitgang -a
399	NUM(type=other,inflection=other)	pos=TW,feat.probleemgeval=true	telwoord probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven
401	PD(type=pers,person=1,number=sg)	pos=VNW,feat.getal=ev,feat.persoon=1	persoonlijk voornaamwoord, 1e persoon enkelvoud
402	PD(type=pers,person=2,number=sg)	pos=VNW,feat.getal=ev,feat.persoon=2	persoonlijk voornaamwoord, 2e persoon enkelvoud
403	PD(type=pers,person=3,number=sg)	pos=VNW,feat.getal=ev,feat.persoon=3	persoonlijk voornaamwoord, 3e persoon enkelvoud
404	PD(type=pers,person=1,number=pl)	pos=VNW,feat.getal=mv,feat.persoon=1	persoonlijk voornaamwoord, 1e persoon meervoud
405	PD(type=pers,person=2,number=pl)	pos=VNW,feat.getal=mv,feat.persoon=2	persoonlijk voornaamwoord, 2e persoon meervoud
406	PD(type=pers,person=3,number=pl)	pos=VNW,feat.getal=mv,feat.persoon=3	persoonlijk voornaamwoord, 3e persoon meervoud
409	PD(type=pers,other)	pos=VNW,feat.probleemgeval=true	probleemgeval
410	PD(type=dem,inflection=0)	pos=VNW,feat.vwtype=aanw	aanwijzend voornaamwoord, geen uitgang
411	PD(type=dem,inflection=e)	pos=VNW,feat.vwtype=aanw,feat.form=-e	aanwijzend voornaamwoord, uitgang -e
412	PD(type=dem,inflection=s/th)	pos=VNW,feat.vwtype=aanw,feat.form=-s/-th	aanwijzend voornaamwoord, uitgang -s/-th
413	PD(type=dem,inflection=t)	pos=VNW,feat.vwtype=aanw,feat.form=-t	aanwijzend voornaamwoord, uitgang -t
414	PD(type=dem,inflection=n)	pos=VNW,feat.vwtype=aanw,feat.form=-n	aanwijzend voornaamwoord, uitgang -n
415	PD(type=dem,inflection=r/re)	pos=VNW,feat.vwtype=aanw,feat.form=-r/-re	aanwijzend voornaamwoord, uitgang -r/-re
416	PD(type=dem,inflection=a)	pos=VNW,feat.vwtype=aanw,feat.form=-a	aanwijzend voornaamwoord, uitgang -a
419	PD(type=dem,inflection=other)	pos=VNW,feat.vwtype=aanw	aanwijzend voornaamwoord, uitgang latijn, onduidelijk of evident fout geschreven
420	PD(type=rel,inflection=0)	pos=VNW,feat.vwtype=betr	betrekkelijk voornaamwoord, geen uitgang
421	PD(type=rel,inflection=e)	pos=VNW,feat.vwtype=betr,feat.form=-e	betrekkelijk voornaamwoord, uitgang -e
422	PD(type=rel,inflection=s/th)	pos=VNW,feat.vwtype=betr,feat.form=-s/-th	betrekkelijk voornaamwoord, uitgang -s/-th
423	PD(type=rel,inflection=t)	pos=VNW,feat.vwtype=betr,feat.form=-t	betrekkelijk voornaamwoord, uitgang -t
424	PD(type=rel,inflection=n)	pos=VNW,feat.vwtype=betr,feat.form=-n	betrekkelijk voornaamwoord, uitgang -n
425	PD(type=rel,inflection=r/re)	pos=VNW,feat.vwtype=betr,feat.form=-r/-re	betrekkelijk voornaamwoord, uitgang -r/-re
426	PD(type=rel,inflection=a)	pos=VNW,feat.vwtype=betr,feat.form=-a	betrekkelijk voornaamwoord, uitgang -a
429	PD(type=rel,inflection=other)	pos=VNW,feat.vwtype=betr	betrekkelijk voornaamwoord, uitgang latijn, onduidelijk of evident fout geschreven
430	PD(type=int,inflection=0)	pos=VNW,feat.vwtype=vb	vragend voornaamwoord, geen uitgang
431	PD(type=int,inflection=e)	pos=VNW,feat.vwtype=vb,feat.form=-e	vragend voornaamwoord, uitgang -e
432	PD(type=int,inflection=s/th)	pos=VNW,feat.vwtype=vb,feat.form=-s/-th	vragend voornaamwoord, uitgang -s/-th
433	PD(type=int,inflection=t)	pos=VNW,feat.vwtype=vb,feat.form=-t	vragend voornaamwoord, uitgang -t
434	PD(type=int,inflection=n)	pos=VNW,feat.vwtype=vb,feat.form=-n	vragend voornaamwoord, uitgang -n
435	PD(type=int,inflection=r/re)	pos=VNW,feat.vwtype=vb,feat.form=-r/-re	vragend voornaamwoord, uitgang -r/-re
